Triclinic (space group numbers 1-2)
R11, R12, R13, R21, R22, R23, R31, R32, R33
1, 0, 0, 1, -1, 0, 0, 0, 1

Cubic (space group numbers 195-230)
R11, R12, R13, R21, R22, R23, R31, R32, R33
-1, 0, 0, 0, -1, 0, 0, 0, -1
-1, 0, 0, 0, -1, 0, 0, 0, 1
-1, 0, 0, 0, 0, -1, 0, -1, 0
-1, 0, 0, 0, 0, -1, 0, 1, 0
-1, 0, 0, 0, 0, 1, 0, -1, 0
-1, 0, 0, 0, 0, 1, 0, 1, 0
-1, 0, 0, 0, 1, 0, 0, 0, -1
-1, 0, 0, 0, 1, 0, 0, 0, 1
0, -1, 0, -1, 0, 0, 0, 0, -1
0, -1, 0, -1, 0, 0, 0, 0, 1
0, -1, 0, 0, 0, -1, -1, 0, 0
0, -1, 0, 0, 0, -1, 1, 0, 0
0, -1, 0, 0, 0, 1, -1, 0, 0
0, -1, 0, 0, 0, 1, 1, 0, 0
0, -1, 0, 1, 0, 0, 0, 0, -1
0, -1, 0, 1, 0, 0, 0, 0, 1
0, 0, -1, -1, 0, 0, 0, -1, 0
0, 0, -1, -1, 0, 0, 0, 1, 0
0, 0, -1, 0, -1, 0, -1, 0, 0
0, 0, -1, 0, -1, 0, 1, 0, 0
0, 0, -1, 0, 1, 0, -1, 0, 0
0, 0, -1, 0, 1, 0, 1, 0, 0
0, 0, -1, 1, 0, 0, 0, -1, 0
0, 0, -1, 1, 0, 0, 0, 1, 0
0, 0, 1, -1, 0, 0, 0, -1, 0
0, 0, 1, -1, 0, 0, 0, 1, 0
0, 0, 1, 0, -1, 0, -1, 0, 0
0, 0, 1, 0, -1, 0, 1, 0, 0
0, 0, 1, 0, 1, 0, -1, 0, 0
0, 0, 1, 0, 1, 0, 1, 0, 0
0, 0, 1, 1, 0, 0, 0, -1, 0
0, 0, 1, 1, 0, 0, 0, 1, 0
0, 1, 0, -1, 0, 0, 0, 0, -1
0, 1, 0, -1, 0, 0, 0, 0, 1
0, 1, 0, 0, 0, -1, -1, 0, 0
0, 1, 0, 0, 0, -1, 1, 0, 0
0, 1, 0, 0, 0, 1, -1, 0, 0
0, 1, 0, 0, 0, 1, 1, 0, 0
0, 1, 0, 1, 0, 0, 0, 0, -1
0, 1, 0, 1, 0, 0, 0, 0, 1
1, 0, 0, 0, -1, 0, 0, 0, -1
1, 0, 0, 0, -1, 0, 0, 0, 1
1, 0, 0, 0, 0, -1, 0, -1, 0
1, 0, 0, 0, 0, -1, 0, 1, 0
1, 0, 0, 0, 0, 1, 0, -1, 0
1, 0, 0, 0, 0, 1, 0, 1, 0
1, 0, 0, 0, 1, 0, 0, 0, -1
1, 0, 0, 0, 1, 0, 0, 0, 1
